datetime,game_start,league,team_a,team_b,current_points_spread,current_points_total,game_duration,bookmaker,market_type,thresh,side,price_current
2026-03-26 23:49:00,2026-03-28 06:00:00,NFL,Philadelphia Eagles,Miami Dolphins,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,4.7,1,126.0
2026-04-13 16:53:00,2026-04-16 08:00:00,NHL,Colorado Avalanche,Carolina Hurricanes,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,2.7,1,125.6
2026-03-11 09:26:00,2026-03-11 15:00:00,NBA,Boston Celtics,Denver Nuggets,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,234.4,0,116.7
2026-02-20 12:41:00,2026-02-22 16:00:00,NFL,Baltimore Ravens,Dallas Cowboys,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,108.1
2026-04-04 20:20:00,2026-04-06 23:00:00,NBA,Boston Celtics,Denver Nuggets,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,2.9,0,103.89
2026-04-04 18:27:00,2026-04-07 10:00:00,NHL,New York Rangers,Carolina Hurricanes,0.0,0.0,0.0,BetMGM,POINTS_SPREAD,0.6,0,100.0
2026-03-12 23:12:00,2026-03-14 13:00:00,NFL,Buffalo Bills,San Francisco 49ers,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,129.31
2026-03-30 07:55:00,2026-04-02 03:00:00,NHL,Vegas Golden Knights,Toronto Maple Leafs,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,1.1,1,123.84
2026-03-31 05:16:31,2026-03-31 05:00:00,NFL,Detroit Lions,Miami Dolphins,0.0,36.1,0.264,Fanduel,POINTS_TOTAL,40.3,0,100.0
2026-02-20 22:39:00,2026-02-21 16:00:00,NFL,San Francisco 49ers,Miami Dolphins,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,166.63
2026-03-11 07:42:00,2026-03-14 01:00:00,NFL,San Francisco 49ers,Kansas City Chiefs,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,45.0,1,120.14
2026-04-09 10:23:00,2026-04-10 00:00:00,NHL,Florida Panthers,Boston Bruins,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,118.26
2026-03-14 00:56:00,2026-03-16 15:00:00,NBA,Los Angeles Lakers,Golden State Warriors,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,5.8,0,100.73
2026-03-01 08:24:00,2026-03-03 02:00:00,NHL,New York Rangers,Vegas Golden Knights,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,118.69
2026-04-18 14:26:00,2026-04-18 20:00:00,NBA,Boston Celtics,Miami Heat,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,229.7,1,108.34
2026-03-25 23:34:00,2026-03-27 15:00:00,NBA,Denver Nuggets,Dallas Mavericks,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,223.3,0,110.76
2026-02-24 21:23:22,2026-02-24 21:00:00,NFL,Miami Dolphins,Philadelphia Eagles,0.0,0.0,0.541,Fanduel,MONEYLINE,0.0,NA,122.71
2026-03-27 09:21:32,2026-03-27 07:00:00,NHL,Colorado Avalanche,New York Rangers,0.0,0.0,0.953,BetMGM,MONEYLINE,0.0,NA,113.67
2026-04-01 06:39:00,2026-04-02 16:00:00,NHL,New York Rangers,Vegas Golden Knights,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,103.43
2026-04-04 17:48:45,2026-04-04 19:00:00,NFL,Detroit Lions,Philadelphia Eagles,0.0,44.7,0.032,BetMGM,POINTS_TOTAL,47.5,1,118.5
2026-03-30 15:52:00,2026-04-01 20:00:00,NFL,Kansas City Chiefs,San Francisco 49ers,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,44.3,1,121.76
2026-03-18 08:02:00,2026-03-20 12:00:00,NFL,Baltimore Ravens,Philadelphia Eagles,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,47.2,0,101.02
2026-04-20 15:46:15,2026-04-20 17:00:00,NBA,Dallas Mavericks,Milwaukee Bucks,-3.4,0.0,0.057,BetMGM,POINTS_SPREAD,1.0,0,102.53
2026-04-11 06:16:37,2026-04-11 06:00:00,NFL,Buffalo Bills,Miami Dolphins,2.5,0.0,0.459,BetMGM,POINTS_SPREAD,1.2,1,100.0
2026-03-18 05:05:50,2026-03-18 06:00:00,NFL,Miami Dolphins,Philadelphia Eagles,-3.0,0.0,0.388,BetMGM,POINTS_SPREAD,1.8,0,100.0
2026-03-07 22:15:00,2026-03-08 17:00:00,NFL,Buffalo Bills,Detroit Lions,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,46.0,1,112.07
2026-04-03 08:28:00,2026-04-04 07:00:00,NHL,Toronto Maple Leafs,New York Rangers,0.0,0.0,0.0,BetMGM,POINTS_SPREAD,4.5,1,130.1
2026-03-01 13:08:00,2026-03-03 01:00:00,NBA,Los Angeles Lakers,Dallas Mavericks,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,1.7,0,119.35
2026-03-27 08:02:57,2026-03-27 08:00:00,NHL,New York Rangers,Toronto Maple Leafs,0.0,0.0,0.072,Fanduel,MONEYLINE,0.0,NA,123.69
2026-03-05 02:24:00,2026-03-05 16:00:00,NHL,Florida Panthers,New York Rangers,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,1.1,1,100.0
2026-03-15 23:28:55,2026-03-16 01:00:00,NFL,Kansas City Chiefs,Buffalo Bills,0.0,47.3,0.144,Fanduel,POINTS_TOTAL,50.0,0,100.0
2026-04-07 14:27:33,2026-04-07 14:00:00,NFL,San Francisco 49ers,Baltimore Ravens,0.0,0.0,0.192,BetMGM,MONEYLINE,0.0,NA,145.4
2026-03-27 19:51:00,2026-03-30 18:00:00,NBA,Milwaukee Bucks,Phoenix Suns,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,132.32
2026-03-30 21:43:00,2026-04-02 08:00:00,NHL,Colorado Avalanche,Carolina Hurricanes,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,0.0,1,100.0
2026-04-12 11:18:00,2026-04-13 03:00:00,NFL,Miami Dolphins,Dallas Cowboys,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,34.5,1,111.93
2026-04-02 01:00:43,2026-04-01 23:00:00,NFL,San Francisco 49ers,Detroit Lions,2.8,0.0,0.804,Fanduel,POINTS_SPREAD,2.4,0,127.83
2026-04-12 15:12:40,2026-04-12 17:00:00,NFL,Kansas City Chiefs,San Francisco 49ers,0.0,0.0,0.126,Fanduel,MONEYLINE,0.0,NA,140.7
2026-03-11 15:20:00,2026-03-11 19:00:00,NBA,Los Angeles Lakers,Dallas Mavericks,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,216.2,0,135.19
2026-04-06 17:47:36,2026-04-06 18:00:00,NBA,Milwaukee Bucks,Golden State Warriors,4.2,0.0,0.42,Fanduel,POINTS_SPREAD,0.4,1,100.0
2026-04-05 05:04:24,2026-04-05 05:00:00,NFL,Buffalo Bills,Philadelphia Eagles,0.0,46.9,0.43,BetMGM,POINTS_TOTAL,45.3,0,102.7
2026-03-29 05:10:07,2026-03-29 05:00:00,NBA,Boston Celtics,Phoenix Suns,0.4,0.0,0.384,Fanduel,POINTS_SPREAD,1.6,0,100.0
2026-04-15 11:12:00,2026-04-16 03:00:00,NHL,Florida Panthers,Toronto Maple Leafs,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,0.4,0,115.06
2026-03-06 19:35:25,2026-03-06 20:00:00,NFL,Buffalo Bills,San Francisco 49ers,5.2,0.0,0.619,BetMGM,POINTS_SPREAD,1.0,0,130.18
2026-04-12 12:38:00,2026-04-15 02:00:00,NBA,Milwaukee Bucks,Dallas Mavericks,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,223.0,0,115.01
2026-03-17 01:06:07,2026-03-16 23:00:00,NBA,Golden State Warriors,Miami Heat,-0.4,0.0,0.834,Fanduel,POINTS_SPREAD,1.4,1,118.93
2026-03-21 07:25:00,2026-03-21 19:00:00,NFL,Baltimore Ravens,Philadelphia Eagles,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,125.04
2026-03-21 00:47:00,2026-03-21 08:00:00,NFL,Philadelphia Eagles,Buffalo Bills,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,148.1
2026-02-26 14:37:00,2026-02-27 10:00:00,NHL,Boston Bruins,Carolina Hurricanes,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,4.9,0,100.0
2026-04-16 15:31:00,2026-04-18 17:00:00,NHL,Edmonton Oilers,Toronto Maple Leafs,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,100.0
2026-02-27 02:07:20,2026-02-27 02:00:00,NBA,Denver Nuggets,Milwaukee Bucks,0.0,0.0,0.763,BetMGM,MONEYLINE,0.0,NA,136.28
2026-03-29 20:05:25,2026-03-29 20:00:00,NHL,Boston Bruins,Toronto Maple Leafs,0.0,0.0,0.369,Fanduel,MONEYLINE,0.0,NA,172.46
2026-04-16 20:46:00,2026-04-19 09:00:00,NFL,Buffalo Bills,San Francisco 49ers,0.0,0.0,0.0,BetMGM,POINTS_SPREAD,2.7,1,100.0
2026-02-26 01:41:00,2026-02-27 15:00:00,NHL,Edmonton Oilers,Boston Bruins,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,0.7,0,127.45
2026-02-27 07:05:00,2026-02-27 11:00:00,NFL,Buffalo Bills,Miami Dolphins,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,26.1,1,109.79
2026-03-08 11:08:00,2026-03-10 21:00:00,NBA,Boston Celtics,Denver Nuggets,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,2.4,0,100.0
2026-04-04 15:19:00,2026-04-05 11:00:00,NHL,Colorado Avalanche,Toronto Maple Leafs,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,135.3
2026-04-01 13:34:12,2026-04-01 14:00:00,NHL,Colorado Avalanche,Vegas Golden Knights,0.0,5.0,0.39,Fanduel,POINTS_TOTAL,6.6,0,100.0
2026-03-07 16:19:00,2026-03-08 01:00:00,NHL,Carolina Hurricanes,Toronto Maple Leafs,0.0,0.0,0.0,BetMGM,POINTS_SPREAD,1.2,0,100.0
2026-03-24 10:08:00,2026-03-26 15:00:00,NBA,Golden State Warriors,Phoenix Suns,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,221.0,0,106.67
2026-03-17 16:56:12,2026-03-17 17:00:00,NBA,Golden State Warriors,Dallas Mavericks,-0.2,0.0,0.59,Fanduel,POINTS_SPREAD,1.2,0,129.33
2026-03-02 04:06:00,2026-03-04 16:00:00,NFL,San Francisco 49ers,Kansas City Chiefs,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,2.4,0,104.67
2026-03-16 05:36:28,2026-03-16 06:00:00,NFL,Detroit Lions,Miami Dolphins,0.0,45.0,0.136,Fanduel,POINTS_TOTAL,49.2,1,110.15
2026-03-04 22:09:00,2026-03-05 22:00:00,NHL,New York Rangers,Boston Bruins,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,106.66
2026-04-06 02:07:00,2026-04-08 18:00:00,NFL,Kansas City Chiefs,San Francisco 49ers,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,50.8,0,123.71
2026-04-18 18:24:00,2026-04-19 12:00:00,NBA,Dallas Mavericks,Phoenix Suns,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,124.12
2026-03-06 14:43:49,2026-03-06 13:00:00,NBA,Denver Nuggets,Dallas Mavericks,0.0,228.1,0.899,BetMGM,POINTS_TOTAL,221.5,1,100.0
2026-04-14 16:47:00,2026-04-16 05:00:00,NBA,Milwaukee Bucks,Boston Celtics,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,0.4,1,114.65
2026-03-26 19:04:00,2026-03-27 23:00:00,NBA,Denver Nuggets,Phoenix Suns,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,218.5,0,100.0
2026-03-19 02:20:02,2026-03-19 04:00:00,NBA,Golden State Warriors,Los Angeles Lakers,-3.0,0.0,0.178,Fanduel,POINTS_SPREAD,0.2,1,137.03
2026-04-07 06:48:24,2026-04-07 07:00:00,NHL,Carolina Hurricanes,Boston Bruins,0.9,0.0,0.13,Fanduel,POINTS_SPREAD,0.6,1,102.59
2026-02-26 19:38:00,2026-02-28 18:00:00,NHL,Edmonton Oilers,Carolina Hurricanes,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,130.63
2026-03-01 11:15:00,2026-03-04 04:00:00,NBA,Boston Celtics,Dallas Mavericks,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,225.4,1,100.0
2026-04-18 22:56:03,2026-04-18 23:00:00,NBA,Golden State Warriors,Denver Nuggets,0.0,228.7,0.417,Fanduel,POINTS_TOTAL,223.1,1,121.35
2026-02-19 16:45:00,2026-02-22 02:00:00,NBA,Milwaukee Bucks,Dallas Mavericks,0.0,0.0,0.0,BetMGM,POINTS_SPREAD,1.7,1,101.3
2026-03-21 04:50:00,2026-03-22 17:00:00,NHL,Toronto Maple Leafs,New York Rangers,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,121.5
2026-03-07 09:10:00,2026-03-10 04:00:00,NFL,Dallas Cowboys,Detroit Lions,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,50.8,0,113.05
2026-03-27 11:31:00,2026-03-30 05:00:00,NHL,Edmonton Oilers,Boston Bruins,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,0.2,1,100.0
2026-03-03 05:59:00,2026-03-05 23:00:00,NBA,Boston Celtics,Los Angeles Lakers,0.0,0.0,0.0,BetMGM,POINTS_SPREAD,5.1,0,100.0
2026-03-07 06:58:00,2026-03-07 12:00:00,NBA,Denver Nuggets,Phoenix Suns,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,1.8,0,127.61
2026-03-08 08:45:55,2026-03-08 09:00:00,NHL,New York Rangers,Toronto Maple Leafs,0.0,0.0,0.344,BetMGM,MONEYLINE,0.0,NA,100.0
2026-02-28 14:05:58,2026-02-28 15:00:00,NBA,Miami Heat,Golden State Warriors,-3.0,0.0,0.161,BetMGM,POINTS_SPREAD,0.8,0,100.0
2026-02-28 19:39:00,2026-03-02 12:00:00,NHL,New York Rangers,Toronto Maple Leafs,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,106.49
2026-04-06 02:06:00,2026-04-07 08:00:00,NHL,Carolina Hurricanes,Florida Panthers,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,6.8,0,109.68
2026-04-04 17:20:00,2026-04-05 01:00:00,NHL,Carolina Hurricanes,Colorado Avalanche,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,1.4,1,106.82
2026-02-23 04:00:27,2026-02-23 04:00:00,NBA,Milwaukee Bucks,Phoenix Suns,-0.2,0.0,0.197,BetMGM,POINTS_SPREAD,2.5,1,119.87
2026-02-19 18:43:00,2026-02-22 10:00:00,NBA,Boston Celtics,Miami Heat,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,220.2,0,115.11
2026-04-12 05:17:00,2026-04-12 12:00:00,NHL,Colorado Avalanche,Vegas Golden Knights,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,139.79
2026-04-10 16:09:00,2026-04-12 12:00:00,NHL,Toronto Maple Leafs,New York Rangers,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,6.3,1,119.61
2026-03-11 17:04:50,2026-03-11 17:00:00,NBA,Dallas Mavericks,Milwaukee Bucks,-0.5,0.0,0.688,Fanduel,POINTS_SPREAD,0.4,1,106.24
2026-04-12 15:59:00,2026-04-13 02:00:00,NFL,Philadelphia Eagles,Detroit Lions,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,35.9,1,116.85
2026-04-02 14:18:00,2026-04-05 06:00:00,NFL,Dallas Cowboys,San Francisco 49ers,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,101.7
2026-03-12 08:55:00,2026-03-14 18:00:00,NBA,Denver Nuggets,Boston Celtics,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,107.66
2026-03-31 08:57:00,2026-04-03 04:00:00,NHL,Toronto Maple Leafs,Boston Bruins,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,0.7,0,100.0
2026-03-05 08:54:00,2026-03-05 09:00:00,NHL,Vegas Golden Knights,Colorado Avalanche,0.0,0.0,0.5,BetMGM,MONEYLINE,0.0,NA,101.8
2026-03-07 18:42:36,2026-03-07 19:00:00,NHL,Florida Panthers,Carolina Hurricanes,-1.2,0.0,0.12,BetMGM,POINTS_SPREAD,0.2,0,100.0
2026-03-24 08:56:00,2026-03-27 02:00:00,NHL,Colorado Avalanche,Carolina Hurricanes,0.0,0.0,0.0,BetMGM,POINTS_SPREAD,1.8,0,118.11
2026-04-19 16:26:00,2026-04-19 21:00:00,NFL,Kansas City Chiefs,Miami Dolphins,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,43.8,0,100.0
2026-03-10 08:25:00,2026-03-12 07:00:00,NBA,Milwaukee Bucks,Phoenix Suns,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,235.7,1,109.13
2026-04-14 06:27:37,2026-04-14 06:00:00,NHL,Florida Panthers,Colorado Avalanche,0.0,3.5,0.259,BetMGM,POINTS_TOTAL,3.5,1,104.19
2026-03-20 19:38:00,2026-03-22 16:00:00,NBA,Boston Celtics,Dallas Mavericks,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,221.1,0,125.07
2026-02-25 15:15:00,2026-02-27 01:00:00,NFL,Miami Dolphins,Philadelphia Eagles,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,35.3,1,120.78
2026-03-18 16:30:00,2026-03-19 20:00:00,NHL,Boston Bruins,Carolina Hurricanes,0.0,0.0,0.0,BetMGM,POINTS_SPREAD,0.5,0,100.0
2026-04-09 16:05:15,2026-04-09 14:00:00,NFL,Detroit Lions,Kansas City Chiefs,0.0,62.9,0.957,BetMGM,POINTS_TOTAL,59.5,1,100.0
2026-04-10 05:12:00,2026-04-12 12:00:00,NFL,Baltimore Ravens,Buffalo Bills,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,23.8,0,113.85
2026-04-14 10:22:00,2026-04-16 17:00:00,NHL,Toronto Maple Leafs,Edmonton Oilers,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,0.5,1,118.58
2026-02-20 21:35:00,2026-02-22 14:00:00,NHL,Boston Bruins,Carolina Hurricanes,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,0.2,0,105.63
2026-03-05 02:37:00,2026-03-06 12:00:00,NFL,Baltimore Ravens,Detroit Lions,0.0,0.0,0.0,BetMGM,POINTS_SPREAD,1.5,1,100.0
2026-03-27 21:36:00,2026-03-29 03:00:00,NBA,Dallas Mavericks,Los Angeles Lakers,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,107.82
2026-03-31 12:51:43,2026-03-31 13:00:00,NFL,Detroit Lions,Baltimore Ravens,0.0,30.8,0.654,BetMGM,POINTS_TOTAL,34.9,1,100.0
2026-03-02 11:49:01,2026-03-02 13:00:00,NHL,Boston Bruins,Carolina Hurricanes,1.3,0.0,0.139,Fanduel,POINTS_SPREAD,0.6,0,112.43
2026-03-28 21:54:00,2026-03-30 23:00:00,NBA,Denver Nuggets,Dallas Mavericks,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,103.7
2026-03-31 22:19:00,2026-04-03 11:00:00,NFL,Philadelphia Eagles,Detroit Lions,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,146.47
2026-03-28 16:18:00,2026-03-31 12:00:00,NHL,New York Rangers,Edmonton Oilers,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,130.77
2026-03-10 12:57:00,2026-03-11 03:00:00,NBA,Dallas Mavericks,Los Angeles Lakers,0.0,0.0,0.0,BetMGM,MONEYLINE,0.0,NA,178.44
2026-04-12 14:16:00,2026-04-13 13:00:00,NHL,Toronto Maple Leafs,Florida Panthers,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,116.8
2026-03-17 09:38:13,2026-03-17 11:00:00,NHL,Boston Bruins,Carolina Hurricanes,0.0,0.0,0.279,BetMGM,MONEYLINE,0.0,NA,116.96
2026-03-31 02:54:25,2026-03-31 01:00:00,NFL,Philadelphia Eagles,Buffalo Bills,0.0,56.7,0.769,BetMGM,POINTS_TOTAL,65.3,1,130.17
2026-03-18 02:49:00,2026-03-20 01:00:00,NBA,Dallas Mavericks,Denver Nuggets,0.0,0.0,0.0,BetMGM,POINTS_SPREAD,1.0,0,100.0
2026-02-28 14:51:08,2026-02-28 14:00:00,NFL,Baltimore Ravens,Detroit Lions,-1.3,0.0,0.473,Fanduel,POINTS_SPREAD,3.1,0,100.64
2026-03-23 01:12:00,2026-03-23 20:00:00,NBA,Milwaukee Bucks,Denver Nuggets,0.0,0.0,0.0,Fanduel,MONEYLINE,0.0,NA,153.44
2026-03-21 14:15:00,2026-03-22 11:00:00,NHL,Boston Bruins,Vegas Golden Knights,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,0.4,1,100.0
2026-04-20 11:09:14,2026-04-20 10:00:00,NHL,New York Rangers,Florida Panthers,0.0,0.0,0.818,BetMGM,MONEYLINE,0.0,NA,112.26
2026-03-02 03:33:08,2026-03-02 02:00:00,NBA,Dallas Mavericks,Phoenix Suns,1.7,0.0,0.623,BetMGM,POINTS_SPREAD,3.7,0,100.0
2026-04-20 12:05:00,2026-04-21 09:00:00,NHL,Florida Panthers,Vegas Golden Knights,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,19.9,1,100.0
2026-03-29 14:32:49,2026-03-29 13:00:00,NBA,Phoenix Suns,Boston Celtics,0.0,243.1,0.599,Fanduel,POINTS_TOTAL,249.7,0,109.4
2026-02-20 13:18:00,2026-02-23 00:00:00,NFL,Baltimore Ravens,Philadelphia Eagles,0.0,0.0,0.0,Fanduel,POINTS_TOTAL,39.9,0,118.46
2026-02-21 02:40:00,2026-02-23 12:00:00,NFL,San Francisco 49ers,Baltimore Ravens,0.0,0.0,0.0,BetMGM,POINTS_TOTAL,44.0,0,101.27
2026-04-06 13:33:00,2026-04-08 16:00:00,NFL,Detroit Lions,Kansas City Chiefs,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,2.1,0,100.0
2026-03-27 12:33:07,2026-03-27 11:00:00,NBA,Denver Nuggets,Boston Celtics,0.0,217.8,0.534,BetMGM,POINTS_TOTAL,219.3,0,100.0
2026-02-24 19:55:00,2026-02-27 17:00:00,NHL,Toronto Maple Leafs,Vegas Golden Knights,0.0,0.0,0.0,Fanduel,POINTS_SPREAD,2.8,1,110.34
